,OID,Site,long,lat,utmE,utmN,date
3,4,Radovin,15.36974017,44.237917,4750464.832,2362918.784,EBA
6,7,Hillfort 1,15.32694961,44.34993545,4746212.49,2375071.427,R
7,8,Gradina Sv. Trojica,15.3819188,44.33342678,4750716.358,2373558.398,EBA
11,13,unconfirmed hillfort,16.05870636,43.70906872,4809912.691,2308642.984,R
15,19,Cvitusa Gradina,15.68429876,44.37567029,4774471.381,2380017.667,R
16,20,Cvitus hillfort 2,15.68597245,44.37323161,4774624.068,2379757.98,EBA
17,21,Ramljani – Gradina Klokoč,15.40269239,44.76888963,4749063.127,2421876.8,LBA
25,30,Gradina u Muškovcima (AN 6),15.74303951,44.20994562,4780481.342,2362040.4,IA
31,37,Stražica – gradina,15.13799684,44.3950087,4730832.209,2379005.916,EBA
33,39,Kruglaš,15.52548301,44.01186429,4764643.144,2338814.466,IA
34,40,Mutvica,15.51385295,44.02465626,4763612.724,2340160.891,EBA
35,41,Smiljevac (AN 42) & (AN 43),15.53376567,44.01640892,4765271.647,2339366.336,IA
37,43,Štrkovača,15.52184057,44.01511655,4764326.201,2339152.709,LBA
38,44,Vinculja,15.50843071,44.00006442,4763367.632,2337408.173,IA
39,45,Velika Debeljaca,15.54712962,44.00666266,4766417.867,2338367.453,IA
42,48,Gradina-Šarića,15.75271734,44.11316319,4782033.194,2351393.271,IA
45,51,Bojnovaca,15.71633544,44.13625315,4778939.283,2353724.321,LBA
46,52,Zelengradina Hillfort,15.72421041,44.13832439,4779552.164,2354001.65,R
48,54,Nakovana - Grad,17.0822598,42.99770627,4899231.377,2237320.53,IA
62,69,Gradina Solin,14.49634686,45.31877686,4673862.753,2478040.406,IA
63,70,Betina – Gradina,15.59506525,43.8306852,4771633.006,2319187.172,LBA
66,73,Kovačevići Gradina,17.17711449,43.31620283,4903789.357,2273220.046,EBA
67,74,Vela Glava,16.85737549,43.14964664,4879490.568,2252397.236,IA
68,75,Likovic,16.99401795,43.14053482,4890671.169,2252417.042,R
69,76,Grcka Gomila,16.99890593,43.13833494,4891089.273,2252211.199,EBA
70,77,Gračišče,16.64474276,43.16174665,4862113.915,2252177.453,R
71,78,Cvituša,15.67312692,44.38313427,4773522.657,2380775.896,LBA
72,79,Ključ – Gradina,16.03350055,43.83316999,4806840.625,2322200.838,EBA
76,83,Gradina Jastrebova Glavica,16.97101547,43.42720753,4886036.815,2283903.205,EBA
78,85,Šapjana,14.22629348,45.49108813,4651661.561,2495898.717,LBA
79,86,Velika Karaula,15.47841447,44.62798854,4756137.983,2406717.469,IA
82,89,Voštane Gradina,16.91187958,43.65578846,4879064.623,2308710.618,EBA
83,90,Markovac - Gradina,13.6182848,45.45581072,4604319.22,2489484.073,IA
85,92,Monkodonja,13.69815377,45.07058035,4612588.345,2447086.461,R
86,93,Lipo Glavica,15.43096929,44.65801112,4752147.553,2409765.639,IA
90,97,Keršovani vrh – gradina,14.62668447,45.09390785,4685551.322,2453752.493,IA
91,98,Žirje – Gradina,15.67805227,43.63562003,4779844.761,2298116.039,IA
92,99,St. John Biranj,16.35403579,43.57929529,4834828.065,2296271.561,EBA
94,101,Vijenac / Venac,15.51523183,44.06861661,4763384.28,2345032.645,IA
